0 0 0 0 0 0 0 
0.01 0.00049048 0.0980918 0.0004905 0.0981 0.0004905 0.0981 
0.02 0.00196167 0.196135 0.001962 0.1962 0.001962 0.1962 
0.03 0.00441285 0.294079 0.0044145 0.2943 0.0044145 0.2943 
0.04 0.00784277 0.391877 0.007848 0.3924 0.007848 0.3924 
0.05 0.0122497 0.48948 0.0122625 0.490499 0.0122625 0.4905 
0.06 0.0176316 0.586839 0.017658 0.588598 0.017658 0.5886 
0.07 0.0239855 0.683906 0.0240344 0.686695 0.0240345 0.6867 
0.08 0.0313086 0.780634 0.0313919 0.784791 0.031392 0.7848 
0.09 0.039597 0.876976 0.0397303 0.882884 0.0397305 0.8829 
0.1 0.0488466 0.972886 0.0490495 0.980973 0.04905 0.981 
0.11 0.0590531 1.06832 0.0593497 1.07906 0.0593505 1.0791 
0.12 0.0702112 1.16323 0.0706307 1.17713 0.070632 1.1772 
0.13 0.0823157 1.25757 0.0828923 1.2752 0.0828945 1.2753 
0.14 0.0953605 1.35129 0.0961346 1.37326 0.096138 1.3734 
0.15 0.109339 1.44437 0.110357 1.4713 0.110362 1.4715 
0.16 0.124246 1.53675 0.12556 1.56932 0.125568 1.5696 
0.17 0.140072 1.6284 0.141744 1.66732 0.141754 1.6677 
0.18 0.156811 1.71926 0.158907 1.76529 0.158922 1.7658 
0.19 0.174455 1.80932 0.177049 1.86324 0.17707 1.8639 
0.2 0.192994 1.89853 0.196171 1.96115 0.1962 1.962 
0.21 0.212422 1.98684 0.216272 2.05902 0.21631 2.0601 
0.22 0.232728 2.07424 0.237352 2.15684 0.237402 2.15819 
0.23 0.253904 2.16069 0.259409 2.2546 0.259474 2.25629 
0.24 0.275939 2.24614 0.282443 2.3523 0.282528 2.35439 
0.25 0.298823 2.33058 0.306455 2.44994 0.306562 2.45248 
0.26 0.322547 2.41398 0.331442 2.54749 0.331577 2.55058 
0.27 0.347099 2.4963 0.357404 2.64496 0.357574 2.64867 
0.28 0.372469 2.57752 0.384341 2.74232 0.384551 2.74677 
0.29 0.398646 2.65762 0.41225 2.83958 0.412509 2.84486 
0.3 0.425618 2.73657 0.441132 2.93672 0.441448 2.94295 
0.31 0.453373 2.81435 0.470984 3.03373 0.471368 3.04103 
0.32 0.481901 2.89095 0.501806 3.1306 0.502269 3.13911 
0.33 0.511188 2.96634 0.533596 3.2273 0.53415 3.23719 
0.34 0.541224 3.0405 0.566352 3.32384 0.567012 3.33527 
0.35 0.571994 3.11344 0.600072 3.42019 0.600855 3.43334 
0.36 0.603488 3.18512 0.634755 3.51634 0.635679 3.53141 
0.37 0.635692 3.25554 0.670398 3.61228 0.671484 3.62947 
0.38 0.668595 3.32469 0.707 3.70798 0.708269 3.72752 
0.39 0.702182 3.39256 0.744557 3.80344 0.746034 3.82556 
0.4 0.736441 3.45914 0.783067 3.89863 0.78478 3.9236 
0.41 0.77136 3.52444 0.822529 3.99353 0.824506 4.02163 
0.42 0.806926 3.58844 0.862937 4.08813 0.865212 4.11964 
0.43 0.843125 3.65115 0.90429 4.18241 0.906899 4.21765 
0.44 0.879944 3.71256 0.946584 4.27634 0.949565 4.31563 
0.45 0.917372 3.77268 0.989816 4.36991 0.993211 4.41361 
0.46 0.955394 3.83151 1.03398 4.4631 1.03784 4.51156 
0.47 0.993998 3.88906 1.07908 4.55588 1.08344 4.6095 
0.48 1.03317 3.94533 1.1251 4.64824 1.13003 4.70741 
0.49 1.0729 4.00033 1.17204 4.74015 1.17759 4.8053 
0.5 1.11317 4.05407 1.2199 4.83159 1.22613 4.90317 
0.51 1.15398 4.10656 1.26867 4.92253 1.27565 5.001 
0.52 1.1953 4.15782 1.31835 5.01295 1.32615 5.09881 
0.53 1.23713 4.20785 1.36893 5.10283 1.37763 5.19658 
0.54 1.27945 4.25667 1.4204 5.19215 1.43008 5.29431 
0.55 1.32226 4.3043 1.47277 5.28088 1.48352 5.392 
0.56 1.36554 4.35075 1.52602 5.36899 1.53792 5.48965 
0.57 1.40927 4.39605 1.58015 5.45647 1.59331 5.58725 
0.58 1.45345 4.4402 1.63514 5.54328 1.64967 5.68479 
0.59 1.49807 4.48325 1.69101 5.6294 1.707 5.78228 
0.6 1.54311 4.52519 1.74773 5.71481 1.76531 5.87971 
0.61 1.58857 4.56607 1.8053 5.79948 1.8246 5.97708 
0.62 1.63443 4.60589 1.86372 5.88339 1.88486 6.07437 
0.63 1.68069 4.64469 1.92297 5.96651 1.94609 6.17158 
0.64 1.72732 4.68249 1.98305 6.04882 2.00829 6.26872 
0.65 1.77433 4.71931 2.04394 6.13029 2.07146 6.36576 
0.66 1.8217 4.75518 2.10565 6.2109 2.1356 6.46271 
0.67 1.86943 4.79014 2.16816 6.29062 2.20071 6.55956 
0.68 1.9175 4.82419 2.23146 6.36943 2.26679 6.65631 
0.69 1.96591 4.85739 2.29554 6.44731 2.33384 6.75293 
0.7 2.01465 4.88974 2.3604 6.52422 2.40185 6.84944 
0.71 2.06371 4.92128 2.42602 6.60016 2.47083 6.94581 
0.72 2.11307 4.95204 2.4924 6.67509 2.54077 7.04205 
0.73 2.16274 4.98205 2.55952 6.749 2.61167 7.13814 
0.74 2.21271 5.01133 2.62738 6.82186 2.68353 7.23408 
0.75 2.26297 5.03992 2.69596 6.89365 2.75635 7.32985 
0.76 2.31351 5.06784 2.76525 6.96435 2.83013 7.42544 
0.77 2.36432 5.09513 2.83524 7.03394 2.90486 7.52085 
0.78 2.41541 5.1218 2.90592 7.10239 2.98054 7.61607 
0.79 2.46676 5.1479 2.97728 7.1697 3.05718 7.71108 
0.8 2.51836 5.17344 3.04931 7.23584 3.13476 7.80587 
0.81 2.57022 5.19846 3.122 7.3008 3.21329 7.90044 
0.82 2.62233 5.22298 3.19532 7.36456 3.29277 7.99477 
0.83 2.67468 5.24703 3.26928 7.42709 3.37319 8.08884 
0.84 2.72727 5.27064 3.34386 7.4884 3.45455 8.18265 
0.85 2.78009 5.29383 3.41905 7.54846 3.53684 8.27618 
0.86 2.83315 5.31663 3.49483 7.60725 3.62007 8.36942 
0.87 2.88642 5.33906 3.57119 7.66478 3.70423 8.46236 
0.88 2.93993 5.36115 3.64812 7.72102 3.78932 8.55497 
0.89 2.99365 5.38292 3.7256 7.77596 3.87533 8.64726 
